bus_id,route_id
0,0
1,0
10,0
100,0
1000,2
10000,19
10001,19
10002,19
10003,19
10004,19
10005,19
10006,19
10007,19
10008,19
10009,19
1001,2
10010,19
10011,19
10012,19
10013,19
10014,19
10015,19
10016,19
10017,19
10018,19
10019,19
1002,2
10020,19
10021,19
10022,19
10023,19
10024,19
10025,19
10026,19
10027,19
10028,19
10029,19
1003,2
10030,19
10031,19
10032,19
10033,19
10034,19
10035,19
10036,19
10037,19
10038,19
10039,19
1004,2
10040,19
10041,19
10042,19
10043,19
10044,19
10045,19
10046,19
10047,19
10048,19
10049,19
1005,2
10050,19
10051,19
10052,19
10053,19
10054,19
10055,19
10056,19
10057,19
10058,19
1006,2
1007,2
1008,2
1009,2
101,0
1010,2
1011,2
1012,2
1013,2
1014,2
1015,2
1016,2
1017,2
1018,2
10186,20
10187,20
10188,20
10189,20
1019,2
10190,20
10191,20
10192,20
10193,20
10194,20
10195,20
10196,20
10197,20
10198,20
10199,20
102,0
1020,2
10200,20
10201,20
10202,20
10203,20
10204,20
10205,20
10206,20
10207,20
10208,20
10209,20
1021,2
10210,20
10211,20
10212,20
10213,20
10214,20
10215,20
10216,20
10217,20
10218,20
10219,20
1022,2
10220,20
10221,20
10222,20
10223,20
10224,20
10225,20
10226,20
10227,20
10228,20
10229,20
1023,2
10230,20
10231,20
10232,20
10233,20
10234,20
10235,20
10236,20
10237,20
10238,20
10239,20
1024,2
10240,20
10241,20
10242,20
10243,20
10244,20
10245,20
10246,20
10247,20
10248,20
10249,20
1025,2
10250,20
10251,20
10252,20
10253,20
10254,20
10255,20
10256,20
10257,20
10258,20
10259,20
1026,2
10260,20
10261,20
10262,20
10263,20
10264,20
10265,20
10266,20
10267,20
10268,20
10269,20
1027,2
10270,20
10271,20
10272,20
10273,20
10274,20
10275,20
10276,20
10277,20
10278,20
10279,20
1028,2
10280,20
10281,20
10282,20
10283,20
10284,20
10285,20
10286,20
10287,20
10288,20
10289,20
1029,2
10290,20
10291,20
10292,20
10293,20
10294,20
10295,20
10296,20
10297,20
10298,20
10299,20
103,0
1030,2
10300,20
10301,20
10302,20
10303,20
10304,20
10305,20
10306,20
10307,20
10308,20
10309,20
1031,2
10310,20
10311,20
10312,20
10313,20
10314,20
10315,20
10316,20
10317,20
10318,20
10319,20
1032,2
10320,20
10321,20
10322,20
10323,20
10324,20
10325,20
10326,20
10327,20
10328,20
10329,20
1033,2
10330,20
10331,20
10332,20
10333,20
10334,20
10335,20
10336,20
10337,20
10338,20
10339,20
1034,2
10340,20
10341,20
10342,20
10343,20
10344,20
10345,20
10346,20
10347,20
10348,20
10349,20
1035,2
10350,20
10351,20
10352,20
10353,20
10354,20
10355,20
10356,20
10357,20
10358,20
10359,20
1036,2
10360,20
10361,20
10362,20
10363,20
10364,20
10365,20
10366,20
10367,20
10368,20
10369,20
1037,2
10370,20
10371,20
10372,20
10373,20
10374,20
10375,20
10376,20
10377,20
10378,20
10379,20
1038,2
10380,20
10381,20
10382,20
1039,2
104,0
1040,2
1041,2
1042,2
1043,2
1044,2
1045,2
1046,2
1047,2
1048,2
1049,2
105,0
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,2
1059,2
106,0
107,0
10736,21
10737,21
10738,21
10739,21
10740,21
10741,21
10742,21
10743,21
10744,21
10745,21
10746,21
10747,21
10748,21
10749,21
10750,21
10751,21
10752,21
10753,21
10754,21
10755,21
10756,21
10757,21
10758,21
10759,21
10760,21
10761,21
10762,21
10763,21
10764,21
10765,21
10766,21
10767,21
10768,21
10769,21
10770,21
10771,21
10772,21
10773,21
10774,21
10775,21
10776,21
10777,21
10778,21
10779,21
10780,21
10781,21
10782,21
10783,21
10784,21
10785,21
10786,21
10787,21
10788,21
10789,21
10790,21
10791,21
10792,21
10793,21
10794,21
10795,21
10796,21
10797,21
10798,21
10799,21
108,0
10800,21
10801,21
10802,21
10803,21
10804,21
10805,21
10806,21
10807,21
10808,21
10809,21
10810,21
10811,21
10812,21
10813,21
10814,21
10815,21
10816,21
10817,21
10818,21
10819,21
10820,21
10821,21
10822,21
10823,21
10824,21
10825,21
10826,21
10827,21
10828,21
10829,21
10830,21
10831,21
10832,21
10833,21
10834,21
10835,21
